mode,attack,seed,nodeCount,firstNodeDeathRound,halfNodesDeathRound,networkLifetimeRounds,allNodesDied,totalEnergyConsumedJ,avgEnergyPerNodeJ,packetsAttempted,packetsDelivered,packetsJammed,packetDeliveryRatio,spoofedIdentitiesAdmitted,spoofedIdentitiesRejected,selectiveDropsSuffered,headsBlacklisted,interlockHandshakes,authenticationFailures,handshakeMillis,avgHandshakeMicros,extraOverheadBits
BASELINE_LEACH,NONE,123,60,519,726,741,true,30.000000,0.500000,41752,41752,0,1.000000,0,0,0,0,0,0,0.000000,0.000000,0
SECURE_LEACH,NONE,123,60,490,690,708,true,30.000000,0.500000,39577,39577,0,1.000000,0,0,0,0,35622,0,25827.315991,725.038347,7979328
BASELINE_LEACH,JAMMING,123,60,460,909,1684,true,30.000000,0.500000,61647,10096,51551,0.163771,0,0,0,0,0,0,0.000000,0.000000,0
SECURE_LEACH,JAMMING,123,60,409,1105,1581,true,30.000000,0.500000,61909,24663,37246,0.398375,0,0,0,46,59804,0,43056.210466,719.955362,13396096
BASELINE_LEACH,SYBIL,123,60,530,620,641,true,30.000000,0.500000,36702,36702,0,1.000000,16975,0,0,0,0,0,0.000000,0.000000,0
SECURE_LEACH,SYBIL,123,60,490,690,708,true,30.000000,0.500000,39577,39577,0,1.000000,0,18730,0,0,35622,18730,25651.964118,720.115774,7979328
BASELINE_LEACH,SELECTIVE_FORWARDING,123,60,510,730,746,true,30.000000,0.500000,41798,37645,0,0.900641,0,0,4153,0,0,0,0.000000,0.000000,0
SECURE_LEACH,SELECTIVE_FORWARDING,123,60,499,655,1039,true,30.000000,0.500000,40194,38148,0,0.949097,0,0,2046,6,36374,0,26114.702444,717.949702,8147776
