mode,attack,seed,nodeCount,firstNodeDeathRound,halfNodesDeathRound,networkLifetimeRounds,allNodesDied,totalEnergyConsumedJ,avgEnergyPerNodeJ,packetsAttempted,packetsDelivered,packetsJammed,packetDeliveryRatio,spoofedIdentitiesAdmitted,spoofedIdentitiesRejected,selectiveDropsSuffered,headsBlacklisted,interlockHandshakes,authenticationFailures,handshakeMillis,avgHandshakeMicros,extraOverheadBits
BASELINE_LEACH,NONE,7,60,470,809,826,true,30.000000,0.500000,46403,46403,0,1.000000,0,0,0,0,0,0,0.000000,0.000000,0
SECURE_LEACH,NONE,7,60,443,767,782,true,30.000000,0.500000,43953,43953,0,1.000000,0,0,0,0,39564,0,28481.964113,719.895969,8862336
BASELINE_LEACH,JAMMING,7,60,425,1084,1688,true,30.000000,0.500000,67837,9926,57911,0.146321,0,0,0,0,0,0,0.000000,0.000000,0
SECURE_LEACH,JAMMING,7,60,395,1424,1582,true,30.000000,0.500000,70602,24934,45668,0.353163,0,0,0,43,68456,0,49398.700933,721.612436,15334144
BASELINE_LEACH,SYBIL,7,60,485,690,707,true,30.000000,0.500000,40380,40380,0,1.000000,18570,0,0,0,0,0,0.000000,0.000000,0
SECURE_LEACH,SYBIL,7,60,443,767,782,true,30.000000,0.500000,43953,43953,0,1.000000,0,20550,0,0,39564,20550,28494.089758,720.202451,8862336
BASELINE_LEACH,SELECTIVE_FORWARDING,7,60,463,809,825,true,30.000000,0.500000,46473,42733,0,0.919523,0,0,3740,0,0,0,0.000000,0.000000,0
SECURE_LEACH,SELECTIVE_FORWARDING,7,60,431,737,1097,true,30.000000,0.500000,44372,42371,0,0.954904,0,0,2001,6,40099,0,28867.333516,719.901581,8982176
